SKU,EAN,Name (size in mm ),Height,Length,Width,Weight,step,date,EOL,storage,PSDS,OnOrder,stock,section
100019,7290016323023,Hemilton 20 Inch Standing Fan 3 Speeds HEM-632 7290016323023,140,690,560,7815,10,09/10/22,,Caesarea,6,0,6,"4006,"
101110,7290008984126,Blue Star 10 Inch Wall Fan TFW 129 White 7290008984126 Key 128,190,390,330,2955,10,24/10/22,,Caesarea,1,0,0,"4023,"
101169,7290017725376,Dragon GT DLX Gaming Chair Brown / Black GPDRC-GT-PB 7290017725376 - Isfar,420,960,730,34000,10,26/10/22,,Caesarea,1,0,0,"4026,"
101759,7290012953613,Greenplace Hurricane Garden Trap With Four Actions System Against Flying Pests 511 7290012953613,330,390,370,6795,10,27/10/22,END,Caesarea,30,20,59,"4013,"
103018,3165140606493,Bosch PSA 900 E 900W Corded Sabre Saw (0 603 3A6 000) 3165140606493 33A6,100,650,580,4830,10,07/07/21,,Caesarea,1,0,1,"4028,"
103343,7290017090276,Gold Line MULTI-CYCLONIC V-8 Vacuum Cleaner ATL-3070 7290017090276,300,400,320,5810,10,30/10/22,,Caesarea,1,0,1,"4020,"
103913,4712818962802,Signet Air Hose Reel Diameter 9.5mm Length 15m Max 250 PSI Hose 3/8 Fitting 1/4 065489 4712818962802,230,450,430,8475,10,28/11/22,,Caesarea,1,0,1,"4019,"
104075,876824000270,Outset Rosewood 3 Piece BBQ Tool Set 139113546 876824000270,50,560,190,1245,10,11/07/21,END,Caesarea,1,0,1,"4024,"
104131,4010951771580 4010951771917,Ikra Cordless Lawn Mower 40V (Body Only) ICM 2/2037 61906851 4010951771580,380,700,420,14160,10,24/10/22,,Caesarea,2,0,2,"4010,"
104146,4078500016506,Gardena Trimmer Smallcut 300W SmallCut 300/23 9805-20 62049805 4078500016506,130,650,220,4090,10,18/10/22,,Caesarea,1,0,2,"4019,"
105333,7290106934221,Keter Portable Tool System - Tool Box Organizer and Trolley Black 236121 7290106934221,390,710,570,11120,10,13/10/22,,Caesarea,1,0,0,"4014,"
105635,7290016783841,Barkan Extra Long Dual Arm Tv Wall Mount 13-80 Inch Black BM464XL 7290016783841,120,860,260,9820,10,30/10/22,,Caesarea,15,0,17,"4014,"
106584,7290017725055 7290114430555,Dragon Gladiator Gaming Chair Black / Gray GPDRC-GLA-G 7290017725055 - Isfar,280,710,570,14955,10,07/11/22,,Caesarea,2,0,1,"4010,"
106853,4242002714578,Bosch Multifunctional Mixer 6.2L 1000W Gray/White MUM6N20IL 4242002714578 - 2Y Warranty BSH,310,420,350,6840,10,06/11/22,,Caesarea,10,0,10,"4008,"
106957,43859550999,Fellowes Paper Guillotine Fusion A3 10 Sheets Safe Guard 43859555178 / 43859550999 DGL5410901,90,840,230,3205,10,06/10/22,,Caesarea,5,0,6,"4011,"
106964,043859679904,Fellowes Laminator Saturn 3I A4 80-125 Mic 43859679904 DLS5724801 / CRC57248,150,490,170,2770,10,24/03/22,,Caesarea,4,0,4,"4023,"
107058,7290017430683,Sachs Drinks Fridge 50 Liter Black EF-60 7290017430683,450,550,500,18560,10,23/10/22,,Caesarea,1,0,1,"4014,"
107316,,CT Stand Electric Wall Ceiling For TV Screen Up To 65Inch 30Kg ECL65PRO,140,630,290,8475,10,09/05/21,,Caesarea,2,0,2,"4024,"
107473,6934177716836,Xiaomi Mi Smart Standing Fan 2 Lite White PYV4007GL 89680 6934177716836 - 1Y by Hemilton,180,550,360,4550,10,20/10/22,,Caesarea,108,0,104,"4004,4005,4009,4011,4012,"
107634,7290109620039,Bpatent Super Mop 7290109620039,300,520,330,3320,10,04/05/21,,Caesarea,1,126,126,"4002,"
107902,7290003400379,SIH TV Ceiling Mount Up To 56 Inch 259 7290003400379,90,690,230,3780,10,05/05/21,,Caesarea,2,0,11,"4011,"
108181,5010415510013,Tommee Tippee Twist and Click Nappy Disposal System White 54023H 5010415510013,260,380,290,2110,10,,,Caesarea,11,0,13,"4006,"
108276,7290014430778,Universe Saturday Thermos No Tvila NR-305 4.5L Tzomet&Halacha Approved Nirosta 3052232 7290014430778,280,470,320,3840,10,29/05/24,,Caesarea,4,0,5,"4003,"
108277,7290014430181,Universe Saturday Thermos No Tvila NR-505 6L Tzomet & Halacha Approved White 3052238 7290014430181,290,440,290,3645,10,23/10/22,,Caesarea,2,0,2,"4025,"
108281,7290016674712,Universe Samovar 80 Cups No Tvila NR-716 16L Tzomet Approved 3052416 7290016674712,390,600,390,6305,10,27/10/22,,Caesarea,7,0,7,"4007,"
108610,7291057095443,Smith 5 Shelf Metal And Wood Storage White 180x90x40 150118-001 7291057095443,70,910,400,15880,10,19/10/22,,Caesarea,66,0,63,"4010,"
108756,5099206082793,Logitech G923 Trueforce Sim Racing Wheel For PS And PC 941-000149 5099206082793,310,440,320,7720,10,07/11/22,,Caesarea,23,0,27,"4005,"
108757,5099206082816,Logitech G923 Trueforce Sim Racing Wheel For Xbox And PC 941-000158 5099206082816,320,440,330,7725,10,07/11/22,,Caesarea,24,0,29,"4002,"
109550,693493073738,Hidurit Samovar 60 Cups Stainless Steel M-L10 693493073738,320,460,320,3880,10,30/10/22,,Caesarea,7,0,8,"4020,"
109552,693493073745,Hidurit Samovar 40 Cups Stainless Steel M-L8 693493073745,270,470,270,3530,10,30/10/22,,Caesarea,5,0,6,"4024,"
109554,602697941866,Hidurit Saturday Hot Plate 4 Pots PS4 602697941866,80,620,500,4685,10,16/10/22,,Caesarea,5,0,7,"4011,"
109555,693493120593,Hidurit Samovar 60 Cups Stainless Steel Black M-LB10 693493120593,320,470,320,3920,10,13/10/22,,Caesarea,6,0,6,"4009,"
109556,693493120579,Hidurit Samovar 60 Cups Stainless Steel Cream M-LC10 693493073738\0693493120579,320,470,320,3920,10,30/10/22,,Caesarea,6,0,5,"4006,"
109558,693493120586,Hidurit Samovar 40 Cups Stainless Steel Black M-LB8 693493120586,270,480,270,3255,10,13/10/22,,Caesarea,4,0,3,"4011,"
109642,3583164152817,Baby Tech Breathable Mattress For Playpen 89*74*4 cm 3583164152817,40,890,740,1075,10,13/10/22,,Caesarea,12,0,12,"4012,"
109643,3583164152848,Baby Tech Basic Mattress For Playpen 89*74*4 cm 3583164152848,40,890,740,1245,10,27/10/22,,Caesarea,6,0,5,"4022,"
109644,3583164152800,Baby Tech Plastic Playpen White Up To 15Kg  89*74 3583164152800,200,950,750,11705,10,18/10/22,,Caesarea,7,0,10,"4013,"
109645,3583164152701,Baby Tech Plastic Cradle White Up To 3 Months 89*57 3583164152701,200,950,750,10415,10,06/11/22,,Caesarea,4,0,6,"4004,"
109646,3583164152725,Baby Tech Breathable Mattress For Cradle 89*57*4 cm 3583164152725,40,890,570,810,10,27/10/22,,Caesarea,4,0,5,"4027,"
110253,7290109762371,NOA Sound Box V1200W Multimedia Table + Wireless Charger - Ash Wood 7290109762371,440,510,500,17035,10,11/10/22,,Caesarea,2,0,2,"4019,"
111134,845423002633,Razor A Kick Scooter - Blue RZR-0010 845423002633,100,600,140,2485,10,12/10/22,,Caesarea,3,0,3,"4018,"
111135,845423002640,Razor A Kick Scooter - Silver RZR-0011 845423002640,160,610,200,2490,10,05/04/22,,Caesarea,1,0,0,"4021,"
111136,845423002664,Razor A Kick Scooter - Red RZR-0012 845423002664,110,600,190,2495,10,19/10/22,,Caesarea,5,0,5,"4028,"
111365,5705548027551,Baby Dan 7cm Extension For Pressure Gate 5705548027551,10,220,60,400,10,11/04/22,,Caesarea,4,0,4,"4023,"
111368,5705548029678 57505548029678,Baby Dan 33cm Extension For White Compound 57505548029678,60,710,360,1355,10,07/05/21,,Caesarea,1,0,1,"4024,"
111371,5705548029708,Baby Dan 72cm Extension For Black Compound 5705548029708,40,750,700,2930,10,09/10/22,,Caesarea,1,0,1,"4021,"
111373,5705548029692,Baby Dan 33cm Extension For Black Compound 5705548029692,50,700,360,1345,10,07/05/21,,Caesarea,1,0,1,"4026,"
111374,5705548027094,Baby Dan 14cm Double Extension For Pressure Safety Gate 5705548027094/5705548027100,40,680,50,1050,10,09/10/22,,Caesarea,3,0,4,"4024,"
111833,7891116155417,Tramontina Brava Cookware 7pc Set 65180/316 7891116155417,212,505,333,5535,10,25/01/23,,Caesarea,2,0,2,"4022,"
111894,HL-12/O3,RL Integrated Stand For 3 Bike HL-12-3,280,340,300,3635,10,27/04/22,,Caesarea,2,0,0,"4005,"
113539,7290011297299,Selmor Shauarma Maker SE-299 7290011297299,320,470,390,3760,10,26/10/22,,Caesarea,6,0,6,"4010,"
113695,7290015062602,Gold Line Electric Towel Drying Rack Silver ATL-6995s 7290015062602,20,590,90,2170,10,25/03/22,,Caesarea,1,0,1,"4021,"
113861,9312742301705 9312742821739,Dreambaby Chelsea Extra Wide Hallway Auto Close Gate White G2173BB 9312742821739 / 9312742301705,60,990,790,6950,10,23/10/22,,Caesarea,1,0,3,"4018,"
113874,9312742308674,Dreambaby Liberty Xtra-Wide Hallway Security Gate DRG-0867 9312742308674,40,980,790,5295,10,20/10/22,,Caesarea,2,0,3,"4028,"
113950,300000001,Carne BBQ Butcher Paper 50X60cm 300000001,85,610,90,2070,10,01/02/23,,Caesarea,3,0,0,"4021,"
114007,7290116080598 7290201938056,Sherwood Micro Component System With Bluetooth CD USB And FM Tuner MC660 7290201938056 By SG,280,360,340,6005,10,25/10/22,,Caesarea,1,0,1,"4018,"
114073,7290018089798,Hemilton Floor Stand Quartz Heater 3 Spirals 1800W HEM-945 7290018089798,230,480,340,3525,10,07/11/22,,Caesarea,1,0,1,"4021,"
114123,634868933165,Traeger Apple Wood Pellet 9Kg PEL343 634868933165,90,470,370,9060,10,23/10/22,,Caesarea,203,0,203,"4018,"
114285,5945844000012,PIL 15Kg Din Plus Pellets HS Animals 6MM 5000000 / 5945844000012,100,590,270,15165,10,18/10/22,,Caesarea,26,0,26,"4008,"
114331,4718017625999,Asus TUF Gaming VG328H1B Curved 31.5 Inch VA FHD 1ms 165Hz VGA HDMI FreeSync 90LM0681-B02170,220,800,590,9500,10,09/11/22,,Caesarea,1,0,1,"4015,"
114555,7290112542007,Green Automatic Hose Reel Set 20m 48705930 7290112542007,241,459,426,0,10,04/05/21,,Caesarea,4,0,0,"4005,"
114596,7754617035650,MATRIX 1500W Bathroom Heater OM-BT1500i 7754617035650,150,568,179,1290,10,21/02/24,,Caesarea,2,0,2,"4019,"
114767,634868933011,Traeger Cherry Wood Pellet 9Kg PEL309 / PEL339 634868933011,60,490,350,9540,10,22/11/24,,Caesarea,118,0,120,"4008,"
114770,7290114430708,Dragon Olympus Gaming Chair (Beitar Jeruslam) Yellow / Black GPDRC-BTJFC 7290114430708 - Isfar,355,860,655,22475,10,09/11/22,END,Caesarea,2,0,2,"4003,"
115291,3583164162045,Baby Tech Multi Flow Breathable Mattress For Baby Bed 127*63cm 3583164162045,90,1270,630,3585,10,27/10/22,,Caesarea,7,0,6,"4005,"
115292,3583164162250,Baby Tech Airflow Visco Mattress For Baby Bed 127*63cm 3583164162250,80,1250,650,2725,10,06/10/22,,Caesarea,3,0,3,"4010,"
115293,3583164152916 3583164152930,Baby Tech Quilt Visco Breathable Mattress For Baby Bed 127*63cm 3583164152916,90,1270,630,2945,10,06/11/22,,Caesarea,2,0,2,"4022,"
115527,3253561956133,"Stanley Metal Plastic Toolbox 23"" 59cm 1-95-613 3253561956133",220,585,295,2795,10,19/10/22,,Caesarea,2,0,3,"4023,"
115539,8717496635853,Stanley Foldable Handtruck SXWTD-FT585 8717496637642 / 81717496635853,120,645,385,7365,10,27/10/22,,Caesarea,5,0,5,"4014,"
116362,6943478006249,Hape Rock a Bye Cradle 13601 6943478006249,140,460,360,2370,10,06/07/21,,Caesarea,1,0,0,"4026,"
116363,6943478006263,Hape Stroller 13603 6943478006263,100,580,360,2175,10,06/07/21,,Caesarea,3,0,3,"4025,"
116370,6943478021662,Hape Busy City Rail Set 13730 6943478021662,120,480,360,2800,10,06/07/21,,Caesarea,3,0,3,"4027,"
116403,4010951438704,Ikra Electric Hedge Trimmer HSE 6055-20D 61906150 4010951438704,205,1085,210,4490,10,25/10/22,,Caesarea,2,0,2,"4022,"
116404,4010951781794,Ikra Electric Telescopic Hedge Trimmer ITHS 500 61906500 4010951781794,110,1010,230,4885,10,26/10/22,,Caesarea,59,0,59,"4012,4013,"
116405,4010951112116,Ikra Electric Grass Trimmer 520W RT 2107 D 61906107 4010951112116,140,970,260,5000,10,,,Caesarea,2,0,1,"4024,"
116406,4010951773027,Ikra Electric Lawn Mower 1200W IELM 1232 61906102 4010951773027,340,700,400,12345,10,24/10/22,,Caesarea,9,0,7,"4011,"
116573,7290016674897,Universe Barrel Vacuum Cleaner + Blower 1600W 25L NRI-703-V55 3101323 7290016674897,380,600,420,7695,10,27/10/22,,Caesarea,3,0,3,"4001,"
116767,1605201828379,Machina Climbing Car Go RC Car Black-Blue 828379 1605201828379,250,510,290,2835,10,27/02/25,,Caesarea,4,0,2,"4021,"
116768,1605201828379,Machina Climbing Car Go RC Car Black-Orange 828379 1605201828379,250,510,290,2835,10,27/02/25,,Caesarea,2,0,1,"4020,"
117118,6927355610446,TCL 60W PLATE SPARK Ceiling Adjacent WW TXD2-2205530WR-02 6927355610446,80,550,530,1535,10,29/03/22,,Caesarea,1,0,2,"4028,"
117560,6951800685017,Eko Hanna 45L Pedal Trash Can Black 6951800685017 BFL,340,690,450,5190,10,18/10/22,,Caesarea,1,0,0,"4007,"
117740,3583164152718,Baby Tech Breathable Mattress For Cradle 86*48*4 cm 3583164152718,40,860,480,660,10,13/10/22,,Caesarea,16,0,14,"4002,"
117741,3583164152695,Baby Tech Basic Mattress For Cradle 86*48*4 cm 3583164152695,40,860,480,600,10,06/11/22,,Caesarea,3,0,3,"4027,"
117742,3583164152824,Baby Tech Breathable Mattress For Playpen 95*83*4 cm 56214\3583164152824,40,950,830,1205,10,23/10/22,,Caesarea,10,0,10,"4014,"
117743,3583164152855,Baby Tech Basic Mattress For Playpen 95*83*4 cm 3583164152855,40,950,830,1150,10,25/10/22,,Caesarea,3,0,2,"4022,"
117894,0622356232692 AG301,Ninja Foodi Health Grill & Air Fryer 1760W AG301EU 0622356232692 By H-Shalom,370,510,420,12975,10,,,Caesarea,4,0,0,"4013,"
118184,7290010483068,Gold Line 6.5L Stainless Steel Slow Cooker  ATL-066 7290010483068,250,390,330,6340,10,03/10/22,,Caesarea,7,0,7,"4003,"
118380,09201927210,PROXEN Stand Mini Drill Press 500W 16mm 25-ZJ4116QA 09201927210,230,470,360,18885,10,06/10/22,,Caesarea,3,0,3,"4002,"
118406,7290103742812,PROXEN 1/2 + 1/4 + 3/8 Ratchet Drive With Inch Sockets 150Pcs Set 55-P-330 7290103742812,90,490,370,11815,10,11/05/21,,Caesarea,1,0,1,"4005,"
119041,0845423022792 845423022792,Razor Special Edition A Kick Scooter - Holographic RZR-0017 13010007 0845423022792,110,600,190,2490,10,19/10/22,,Caesarea,2,0,2,"4020,"
